#,TITLE,DOI,YEAR
196.0,Beyond the plot: Technology extrapolation domains for scaling out agronomic science,10.1016/j.pbi.2020.05.002,2018
195.0,Developing the role of legumes in West Africa under climate change,10.3389/fpls.2021.798993,2020
193.0,Breeding Potentials of Bambara Groundnut for Food and Nutrition Security in the Face of Climate Change,10.1111/ejss.70069,2022
191.0,"Assessment of Genetic Diversity for Drought, Heat and Combined Drought and Heat Stress Tolerance in Early Maturing Maize Landraces",10.1016/j.scitotenv.2023.165657,2019
190.0,"Assessing the Potential of Extra-Early Maturing Landraces for Improving Tolerance to Drought, Heat, and Both Combined Stresses in Maize",10.1007/s00425-019-03191-6,2020
189.0,Assessing the skill of gridded satellite and reanalysis precipitation products over in East and Southern Africa,10.1007/s10457-023-00950-z,2023
188.0,"Allometric equations, wood density and partitioning of aboveground biomass in the arboretum of Ruhande, Rwanda",10.5539/sar.v8n2p68,2021
187.0,Editorial: Modelling approaches for climate variability and change mitigation and adaptation in resource constrained farming systems,10.3389/fpls.2015.00563,2024
186.0,Current Problems Leading to Soil Degradation in Africa: Raising Awareness and Finding Potential Solutions,10.1094/PDIS-07-22-1672-RE,2025
185.0,"Combined effects of shade and drought on physiology, growth, and yield of mature cocoa trees",10.1080/17565529.2023.2178840,2023
184.0,Bambara groundnut: an exemplar underutilised legume for resilience under climate change,10.5897/JSSEM15.0502,2019
183.0,Do farmersâ€™ perceptions and socio-economic factors drive cocoa agroforestry and sustainable soil carbon management practices in West Africa?,10.1007/s10745-017-9899-0,2024
182.0,Climate Change and Cereal Production Evolution Trend in the Sahel: Case Study in Mali from 1951 to 2010,10.1016/j.fcr.2016.06.010,2019
181.0,Application of genomics-assisted breeding for generation of climate resilient crops: progress and prospects,10.1016/j.scitotenv.2017.08.041,2015
180.0,Climate-Related Risk Modeling of Banana Xanthomonas Wilt Disease Incidence in the Cropland Area of Rwanda,10.1371/journal.pone.0255326,2023
179.0,Beyond average: are the yield and income impacts of adopting drought-tolerant maize varieties heterogeneous?,10.1093/plcell/koac303,2024
178.0,Applicability of conservation agriculture for climate change adaptation in Rwandaâ€™s situation,10.1088/1748-9326/ac61c8,2015
174.0,Evaluating Farmersâ€™ Knowledge of Shade Trees in Different Cocoa Agro-Ecological Zones in Ghana,10.1007/s00267-018-1048-z,2017
173.0,Baseline simulation for global wheat production with CIMMYT mega-environment specific cultivars,10.1111/agec.12363,2016
171.0,Climate warming causes declines in crop yields and lowers school attendance rates in Central Africa,10.1002/ece3.3668,2018
170.0,"Collection, genotyping and virus elimination of cassava landraces from Tanzania and documentation of farmer knowledge",10.3390/agriculture12111853,2021
169.0,Systems biology for sustainable agriculture,10.1016/j.eja.2024.127137,2023
165.0,Climate change impacts and adaptation strategies for crops in West Africa: A systematic review,10.1088/1748-9326/ac61c8,2022
164.0,Diversity within village institutions and its implication for resilience in the context of climate change in Cameroon,10.1080/17565529.2017.1291409,2018
162.0,"Can smallholder farmers adapt to climate variability, and how effective are policy interventions? Agent-based simulation results for Ethiopia",10.1111/agec.12358,2017
161.0,Comparative phylogeography of Aedes mosquitoes and the role of past climatic change for evolution within Africa,10.1002/ece3.3668,2018
159.0,Evaluating the Heterogeneous Impacts of Adoption of Climate-Smart Agricultural Technologies on Rural Householdsâ€™ Welfare in Mali,10.3390/agriculture12111853,2022
158.0,Climate change impact and adaptation of rainfed cereal crops in sub-Saharan Africa,10.1016/j.eja.2024.127137,2024
157.0,Carbon Storage in Cocoa Growing Systems Across Different Agroecological Zones in Ghana,10.22302/ICCRI.JUR.PELITAPERKEBUNAN.V37I1.395,2021
156.0,Editorial: Soil Fertility Management for Sustainable Food Production in sub-Saharan Africa,10.3389/fsufs.2022.959604,2022
155.0,Combining temperature-dependent life table data into Insect Life Cycle Model to forecast fall armyworm Spodoptera frugiperda (JE Smith) distribution in maize agro-ecological zones in Africa,10.1080/14735903.2025.2513790,2024
154.0,Climate-resilient aquatic food systems require transformative change to address gender and intersectional inequalities,10.3390/su6096125,2024
153.0,Cocoa agroforestry is less resilient to sub-optimal and extreme climate than cocoa in full sun,10.3920/WMJ2016.2130,2017
152.0,"Characterization of cocoa production, income diversification and shade tree management along a climate gradient in Ghana",10.1111/pbi.12467,2018
150.0,The potential of stable carbon isotope ratios and leaf temperature as proxies for drought stress in banana under field conditions,10.1094/PDIS-01-23-0166-FE,2022
149.0,Prospect for increasing grain legume crop production in East Africa,10.1016/j.crsust.2023.100219,2018
147.0,Modeling carbon stock dynamics under fallow and cocoa agroforest systems in the shifting agricultural landscape of Central Cameroon,10.1007/s10584-019-02447-0,2017
145.0,Potential of genomics for the improvement of underutilized legumes in subâ€Saharan Africa,10.1038/s41467-023-39338-z,2021
144.0,A review of biotechnological approaches towards crop improvement in African yam bean (Sphenostylis stenocarpa Hochst. Ex A. Rich.),10.1111/mec.13762,2021
143.0,Narrowing the rice yield gap in East and Southern Africa: Using and adapting existing technologies,10.1080/00207233.2017.1398432,2014
141.0,Phenotypic characterization of maize landraces from Sahel and Coastal West Africa reveals marked diversity and potential for genetic improvement,10.1002/fes3.172,2020
140.0,Long-term spatial-temporal trends and variability of rainfall over Eastern and Southern Africa,10.1016/j.heliyon.2023.e20199,2019
139.0,Mechanisms and approaches towards enhanced drought tolerance in cassava (Manihot esculenta),10.17660/ActaHortic.2018.1225.4,2021
138.0,Phenotyping cowpea for seedling root architecture reveals root phenes important for breeding phosphorus efficient varieties,10.1080/17429145.2019.1643934,2021
137.0,Lessons from integrated seasonal forecastâ€“crop modelling in Africa: A systematic review,10.3390/su15010190,2022
136.0,Protein-rich legume and pseudo-cereal crop suitability under present and future European climates,10.1016/j.jssas.2024.06.004,2020
135.0,Pheromone traps and climate variations influence populations of Sahlbergella singularis and associated damage of cocoa in Cameroon,10.3390/genes11091054,2024
134.0,Shifting focus from external to in situ organic resources â€“ The redesign of four tropical long-term experiments,10.1371/journal.pone.0222941,2024
133.0,Rural transformation and the future of cereal-based agri-food systems,10.3389/fpls.2022.782140,2020
130.0,Resistance Genes in Global Crop Breeding Networks,10.1094/PHYTO-03-17-0082-FI,2017
129.0,Local adaptation in thermal tolerance for a tropical butterfly across ecotone and rainforest habitats,10.1242/bio.058619,2021
128.0,"Organic matter cycling along geochemical, geomorphic, and disturbance gradients in forest and cropland of the African Tropics â€“ project TropSOC database version 1.0",10.5194/essd-13-4133-2021,2021
127.0,Push-pull strategy combined with net houses for controlling cowpea insect pests and enhancing crop yields,10.1016/j.cropro.2020.105449,2021
124.0,Plant-Parasitic Nematodes and Food Security in Sub-Saharan Africa,10.1146/annurev-phyto-080417-045833,2018
123.0,Public sector soybean (Glycine max) breeding: Advances in cultivar development in the African tropics,10.1111/pbr.12682,2019
120.0,Potential impact of climate change on whiteflies and implications for the spread of vectored viruses,10.1007/s10340-018-1059-9,2019
119.0,Life history and temperature-dependence of cassava-colonising populations of Bemisia tabaci,10.1007/s10340-020-01249-z,2020
118.0,Production Characteristics and Strategies for Adapting to the Impacts of Climate Change on Cassava Whiteflies and Viruses in Tanzania,10.31817/vjas.2021.4.1.03,2021
116.0,Selection of extra-early white quality protein maize (Zea mays L.) inbred lines for drought and low soil nitrogen resilient hybrid production,10.3389/fsufs.2023.1238776,2024
115.0,Progress in understanding Pseudocercospora banana pathogens and the development of resistant Musa germplasm,10.1111/ppa.12824,2018
113.0,Prevalence of Aflatoxin- and Fumonisin-Producing Fungi Associated with Cereal Crops Grown in Zimbabwe and Their Associated Risks in a Climate Change Scenario,10.3390/foods10020287,2021
111.0,Physiological responses of cowpea simultaneously exposed to water deficit stress and varying light intensities at vegetative and reproductive growth stages,10.25081/jpsp.2022.v8.7896,2022
110.0,The power of narratives: Explaining inaction on gender mainstreaming in Ugandaâ€™s climate change policy,10.1111/dpr.12458,2019
109.0,Variations in yield gaps of smallholder cocoa systems and the main determining factors along a climate gradient in Ghana,10.1016/j.agsy.2020.102812,2020
108.0,Adaptation Strategies to Climate Change and Impacts on Household Income and Food Security: Evidence from Sahelian Region of Niger,10.3390/su14052847,2022
106.0,Impacts of climate variability and food price volatility on household income and food security of farm households in East and West Africa,10.1016/j.agsy.2017.02.006,2017
104.0,Smallholder farmersâ€™ perceptions of and adaptations to climate change in the Nigerian savanna,10.1007/s10113-012-0351-0,2013
101.0,Between rainfall and food poverty: Assessing vulnerability to climate change in an agricultural economy,10.1016/j.jclepro.2018.06.221,2018
100.0,Phenotypic approaches to drought in cassava: review,10.3389/fphys.2013.00093,2013
98.0,"Reviewing research priorities in weed ecology, evolution and management: a horizon scan",10.1111/wre.12304,2018
94.0,Structural approaches to modeling the impact of climate change and adaptation technologies on crop yields and food security,10.1016/j.gfs.2016.08.003,2016
90.0,Coffea arabica yields decline in Tanzania due to climate change: Global implications,10.1016/j.agrformet.2015.03.005,2015
85.0,Establishing Optimal Planting Windows for Contrasting Sorghum Cultivars across Diverse Agro-Ecologies of North-Eastern Nigeria: A Modelling Approach,10.3390/agronomy13030727,2023
83.0,Unveiling African rainforest composition and vulnerability to global change,10.1038/s41586-021-03483-6,2021
82.0,"Preparing for, coping with and bouncing back after shocks. A nuanced resilience assessment for smallholder farms and farmers in Northern Ghana",Not available in search results,2023
80.0,Drought vulnerability of central Sahel agrosystems: a modelling-approach based on magnitudes of changes and machine learning techniques,10.1080/01431161.2023.2234094,2023
79.0,Climate Change Adaptation Strategies and Its Impact on Household Vulnerability to Food Insecurity: A Micro-Level Evidence from Southwest Ethiopia,10.3390/su16135766,2024
77.0,Remotely-sensed slowing down in spatially patterned dryland ecosystems,10.1111/ecog.06139,2022
76.0,"Managing vulnerability to drought and enhancing livelihood resilience in sub-Saharan Africa: Technological, institutional and policy options",10.1016/j.wace.2014.04.004,2014
75.0,Are digital services the right solution for empowering smallholder farmers? A perspective enlightened by COVID-19 experiences to inform smart IPM,10.1371/journal.pstr.0000052,2023
72.0,Diversity within village institutions and its implication for resilience in the context of climate change in Cameroon,10.1080/17565529.2017.1291409,2018
69.0,Mediation and moderation roles of resilience capacity in the shockâ€“food-security nexus in northern Ghana,10.1016/j.ecolecon.2023.107894,2023
68.0,Assessing Climate Smart Agriculture and Its Determinants of Practice in Ghana: A Case of the Cocoa Production System,10.3390/land7010030,2018
64.0,"Vulnerability of Nigerian maize traders to a confluence of climate, violence, disease and cost shocks",10.1108/JADEE-08-2023-0214,2024
63.0,"Strategizing research and development investments in climate change adaptation for root, tuber and banana crops in the African Great Lakes Region: A spatial prioritisation and targeting framework",10.1016/j.agsy.2022.103508,2022
60.0,Limited effects of shade on physiological performances of cocoa (Theobroma cacao L.) under elevated temperature,10.1016/j.envexpbot.2022.105052,2022
59.0,"Identification of Drought, Heat, and Combined Drought and Heat Tolerant Donors in Maize",10.2135/cropsci2012.09.0545,2013
54.0,"Linking agricultural adaptation strategies, food security and vulnerability: evidence from West Africa",10.1007/s10113-015-0838-6,2015
52.0,Sustainable intensification: What is its role in climate smart agriculture?,10.1016/j.cosust.2014.07.002,2014
51.0,Ecological drivers of pteridophyte diversity and distribution in Togo (West Africa),10.1016/j.ecolind.2019.105741,2020
50.0,"Farmers, food and climate change: ensuring community-based adaptation is mainstreamed into agricultural programmes",10.1080/17565529.2014.965654,2014
49.0,Institutional Perspectives of Climate-Smart Agriculture: A Systematic Literature Review,10.3390/su10061990,2018
47.0,A framework for priority-setting in climate-smart agriculture research,10.1016/j.agsy.2018.09.009,2018
46.0,Horizon scanning to assess the bioclimatic potential for the alien species Spodoptera eridania and its parasitoids after pest detection in West and Central Africa,10.1002/ps.6478,2021
45.0,Implementation Outline of Climate-Smart One Health,"Note: Published article found is from 2024, not 2022. DOI: 10.3390/su16156652",2022
44.0,"Global Habitat Suitability of Spodoptera frugiperda (JE Smith) (Lepidoptera, Noctuidae): Key Parasitoids Considered for Its Biological Control",10.3390/insects12040273,2021
43.0,How does IPM 3.0 look like (and why do we need it in Africa)?,10.1016/j.cois.2022.100961,2022
42.0,Exploring the floristic diversity of tropical Africa,10.1186/s12915-017-0356-8,2017
41.0,"Food sovereignty in sub-Saharan Africa: Reality, relevance, and practicality",10.3389/fagro.2022.957011,2022
40.0,Integrating a crop model with a greenhouse gas calculator to identify low carbon agricultural intensification options for smallholder farmers in rural South Africa,10.1007/s10098-022-02272-7,2022
